Run Type,NumCPU,NumNodes,ParticleCount,Total Elapsed Time 1(s),Total Elapsed Time 2(s),Total Elapsed Time 3(s),Total Elapsed Average(s)
OPENMPI,1,1,64,2.93061,2.95098,2.61224,2.831276667
OPENMPI,1,2,64,2.63835,2.19312,2.15877,2.33008
OPENMPI,1,3,64,2.67137,2.43089,2.0704,2.390886667
OPENMPI,1,4,64,4.6811,3.4825,2.19849,3.45403
OPENMPI,1,1,1024,302.441,306.875,301.69,303.6686667
OPENMPI,1,2,1024,162.306,161.477,162.389,162.0573333
OPENMPI,1,3,1024,107.878,112.076,118.748,112.9006667
OPENMPI,1,4,1024,79.6421,92.8652,87.3735,86.62693333
OPENMPI,1,1,4096,3613.7,3604.33,3591.82,3603.283333
OPENMPI,1,2,4096,1881.17,1810.94,1814.04,1835.383333
OPENMPI,1,3,4096,1324.04,1214.84,1206.5,1248.46
OPENMPI,1,4,4096,1038.46,962.115,909.461,970.012
OPENMPI,1,1,16384,56833.5,56898.9,56986.7,56906.36667
OPENMPI,1,2,16384,28041.4,28539.2,28063.8,28214.8
OPENMPI,1,3,16384,18794.6,18829.2,18847.1,18823.63333
OPENMPI,1,4,16384,14018.6,14029.5,14018.4,14022.16667
